"Date","EventId","Source","Level","Summary","Message"
"9/24/2025 12:01:58 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777224."
"9/24/2025 3:31:59 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 493 to 494.","The system session has transitioned from 493 to 494.

Reason InputMouse 

BootId: 22"
"9/24/2025 3:31:59 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"9/24/2025 3:31:59 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 494 to 495.","The system session has transitioned from 494 to 495.

Reason 16777220 

BootId: 22"
"9/24/2025 3:31:59 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"9/24/2025 7:37:45 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 495 to 496.","The system session has transitioned from 495 to 496.

Reason InputMouse 

BootId: 22"
"9/24/2025 7:37:52 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"9/24/2025 7:37:52 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 496 to 497.","The system session has transitioned from 496 to 497.

Reason 16777220 

BootId: 22"
"9/24/2025 7:37:52 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"9/24/2025 7:45:10 AM","105","Microsoft-Windows-Kernel-Power","Information","Power source change.","Power source change."
"9/24/2025 7:45:10 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: AC/DC Display Burst Suppressed."
"9/24/2025 7:45:10 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 497 to 499.","The system session has transitioned from 497 to 499.

Reason InputMouse 

BootId: 22"
"9/24/2025 7:45:10 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: AC/DC Display Burst Suppressed."
"9/24/2025 7:45:16 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 499 to 500.","The system session has transitioned from 499 to 500.

Reason InputMouse 

BootId: 22"
"9/24/2025 7:51:21 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: Austerity Battery Drain Budget Exceeded."
"9/24/2025 7:51:21 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 500 to 501.","The system session has transitioned from 500 to 501.

Reason 55 

BootId: 22"
"9/24/2025 7:51:21 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: Austerity Battery Drain Budget Exceeded."
"9/24/2025 7:51:31 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 501 to 502.","The system session has transitioned from 501 to 502.

Reason 55 

BootId: 22"
"9/24/2025 8:12:35 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: Lid."
"9/24/2025 8:12:35 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 502 to 503.","The system session has transitioned from 502 to 503.

Reason PolicyChange 

BootId: 22"
"9/24/2025 8:12:57 AM","105","Microsoft-Windows-Kernel-Power","Information","Power source change.","Power source change."
"9/24/2025 8:13:06 AM","105","WudfUsbccidDriver","Information","The Smartcard reader reported the following class descriptor (part 2).","The Smartcard reader reported the following class descriptor (part 2)."
"9/24/2025 9:02:56 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 503 to 504.","The system session has transitioned from 503 to 504.

Reason SessionUnlock 

BootId: 22"
"9/24/2025 9:02:56 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: Idle Timeout."
"9/24/2025 9:03:17 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 504 to 505.","The system session has transitioned from 504 to 505.

Reason SessionUnlock 

BootId: 22"
"9/24/2025 9:23:32 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: Input Mouse."
"9/24/2025 9:23:32 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 505 to 506.","The system session has transitioned from 505 to 506.

Reason InputHid 

BootId: 22"
"9/24/2025 9:24:03 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 506 to 507.","The system session has transitioned from 506 to 507.

Reason SessionUnlock 

BootId: 22"
"9/24/2025 9:24:03 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: Idle Timeout."
"9/24/2025 9:25:04 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: Input Mouse."
"9/24/2025 9:25:04 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 507 to 509.","The system session has transitioned from 507 to 509.

Reason InputHid 

BootId: 22"
"9/24/2025 11:39:23 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 509 to 510.","The system session has transitioned from 509 to 510.

Reason SessionUnlock 

BootId: 22"
